SA2 name,Population density 2020
Bayswater,1633.4
Knoxfield - Scoresby,1139.6
Lysterfield,378
Rowville - Central,1949
Rowville - North,2012.1
Rowville - South,1162.9
Wantirna,1775.4
Wantirna South,1430.4
Boronia,2129.5
Ferntree Gully (North),2101.6
Ferntree Gully (South) - Upper Ferntree Gully,1684.6
The Basin,773.4
Donvale - Park Orchards,808.5
Warrandyte - Wonga Park,230.5
Bayswater North,1262.4
Croydon Hills - Warranwood,1982.3
Ringwood,1933.2
Ringwood East,2333.9
Ringwood North,2109.6
Croydon - East,2083.8
Croydon - West,2171.4
Croydon South,1757.4
Forest Hill,2835
Mitcham (Vic.),2667.7
Nunawading,2557.6
Vermont,2474.7
Vermont South,1989.7
Belgrave - Selby,186.7
Chirnside Park,525.6
Healesville - Yarra Glen,39.6
Kilsyth,1201.9
Lilydale - Coldstream,181.9
Monbulk - Silvan,85.7
Montrose,672.8
Mooroolbark,1928.6
Mount Dandenong - Olinda,124.3
Mount Evelyn,603.3
Upwey - Tecoma,1129.9
Wandin - Seville,72.5
Yarra Valley,23
Beaconsfield - Officer,526.5
Bunyip - Garfield,25.6
Emerald - Cockatoo,50.9
Koo Wee Rup,22.2
Pakenham - North,626.8
Pakenham - South,682.2
Berwick - North,1221.5
Berwick - South,1983.4
Doveton,2394
Hallam,1463.8
Narre Warren North,254.4
Endeavour Hills - North,852.5
Endeavour Hills - South,2511.6
Narre Warren - North East,2911.6
Narre Warren - South West,1619.8
Cranbourne,1644.8
Cranbourne East,1294.2
Cranbourne North,2494.2
Cranbourne South,169.9
Cranbourne West,1617.1
Hampton Park - Lynbrook,2067
Lynbrook - Lyndhurst,2439.6
Pearcedale - Tooradin,82.9
Narre Warren South (East),2205.3
Narre Warren South (West),2623.1
Clarinda - Oakleigh South,1944.4
Clayton South,1815.6
Dandenong,553.2
Dandenong North,2502.1
Dingley Village,1480.9
Keysborough,1039.9
Noble Park North,2106.8
Springvale,2150.5
Springvale South,2938.4
Noble Park - East,3625.9
Noble Park - West,4203.4
Ashwood - Chadstone,3101.9
Clayton,3024.1
Glen Waverley - East,2443
Glen Waverley - West,2749.7
Mount Waverley - North,2566.6
Mount Waverley - South,2331.6
Mulgrave,1976.8
Oakleigh - Huntingdale,2400.2
Wheelers Hill,2018.5
Ardeer - Albion,1865.2
Cairnlea,2446.2
Deer Park - Derrimut,1349.5
